"ensembl_gene_id"	"hgnc_symbol"	"entrezgene"
"417"	"ENSG00000259395"	""	NA
"418"	"ENSG00000280853"	""	NA
"419"	"ENSG00000259737"	""	NA
"420"	"ENSG00000251236"	""	NA
"421"	"ENSG00000257550"	""	100652999
"422"	"ENSG00000227034"	""	NA
"423"	"ENSG00000281377"	""	105377617
"424"	"ENSG00000281787"	"FRG1-DT"	NA
"425"	"ENSG00000255790"	""	440084
"426"	"ENSG00000250756"	""	NA
"427"	"ENSG00000259947"	"LINC02124"	105371048
"428"	"ENSG00000270500"	"COX6CP4"	NA
"429"	"ENSG00000143420"	"ENSA"	2029
"430"	"ENSG00000273954"	"LINC01194"	NA
"431"	"ENSG00000231952"	"DPY19L1P2"	NA
"432"	"ENSG00000215595"	"C20orf202"	400831
"433"	"ENSG00000162040"	"HS3ST6"	64711
"434"	"ENSG00000230299"	""	NA
"435"	"ENSG00000281703"	""	NA
"436"	"ENSG00000278019"	""	NA
"437"	"ENSG00000152284"	"TCF7L1"	83439
"438"	"ENSG00000280638"	"CDH12P2"	NA
"439"	"ENSG00000133104"	"SPART"	23111
"440"	"ENSG00000223587"	"LINC01986"	NA
"441"	"ENSG00000237303"	"HIGD1AP8"	NA
"442"	"ENSG00000251655"	"PRB1"	5542
"443"	"ENSG00000215388"	"ACTG1P3"	NA
"444"	"ENSG00000224918"	""	NA
"445"	"ENSG00000125895"	"TMEM74B"	55321
"446"	"ENSG00000254037"	""	NA
"447"	"ENSG00000109181"	"UGT2B10"	7365
"448"	"ENSG00000244257"	"PKD1P1"	NA
"449"	"ENSG00000276026"	""	105372493
"450"	"ENSG00000165621"	"OXGR1"	27199
"451"	"ENSG00000277429"	"SERF1B"	8293
"452"	"ENSG00000277429"	"SERF1B"	728492
"453"	"ENSG00000274269"	""	NA
"454"	"ENSG00000225064"	"LINC01802"	NA
"455"	"ENSG00000248571"	""	NA
"456"	"ENSG00000170006"	"TMEM154"	201799
"457"	"ENSG00000118260"	"CREB1"	1385
"458"	"ENSG00000231983"	"LINC00415"	NA
"459"	"ENSG00000256116"	""	NA
"460"	"ENSG00000175793"	"SFN"	2810
"461"	"ENSG00000260940"	""	NA
"462"	"ENSG00000235009"	"LINC01883"	100996902
"463"	"ENSG00000110011"	"DNAJC4"	3338
"464"	"ENSG00000228399"	""	NA
"465"	"ENSG00000198176"	"TFDP1"	7027
"466"	"ENSG00000173810"	"PPIAP7"	NA
"467"	"ENSG00000183889"	""	100288332
"468"	"ENSG00000231367"	""	NA
"469"	"ENSG00000224747"	"MTCYBP21"	NA
"470"	"ENSG00000237068"	"RPL5P2"	NA
"471"	"ENSG00000278654"	""	NA
"472"	"ENSG00000282735"	"KIAA0355"	9710
"473"	"ENSG00000283635"	""	NA
"474"	"ENSG00000121335"	"PRB2"	653247
"475"	"ENSG00000258722"	"CKAP2P1"	NA
"476"	"ENSG00000144485"	"HES6"	55502
"477"	"ENSG00000178107"	""	NA
"478"	"ENSG00000101446"	"SPINT3"	10816
"479"	"ENSG00000226698"	""	NA
"480"	"ENSG00000277368"	""	NA
"481"	"ENSG00000142751"	"GPN2"	54707
"482"	"ENSG00000213553"	"RPLP0P6"	NA
"483"	"ENSG00000127870"	"RNF6"	6049
"484"	"ENSG00000169327"	"OR5AU1"	390445
"485"	"ENSG00000231671"	"LINC01307"	104355286
"486"	"ENSG00000229002"	""	NA
"487"	"ENSG00000279782"	"PPIAL4F"	728945
"488"	"ENSG00000282746"	""	NA
"489"	"ENSG00000231134"	"TCF7L1-IT1"	100874334
"490"	"ENSG00000227397"	""	NA
"491"	"ENSG00000280275"	""	NA
"492"	"ENSG00000236574"	""	NA
"493"	"ENSG00000274631"	""	NA
"494"	"ENSG00000183298"	"RPSAP19"	NA
"495"	"ENSG00000249148"	""	NA
"496"	"ENSG00000188021"	"UBQLN2"	29978
"497"	"ENSG00000226715"	"LINC01709"	NA
"498"	"ENSG00000159261"	"CLDN14"	23562
"499"	"ENSG00000260683"	""	NA
"500"	"ENSG00000225451"	""	NA
"501"	"ENSG00000235274"	""	NA
"502"	"ENSG00000230105"	""	NA
"503"	"ENSG00000225512"	""	NA
"504"	"ENSG00000242209"	""	NA
"505"	"ENSG00000231243"	""	NA
"506"	"ENSG00000267412"	""	NA
"507"	"ENSG00000223431"	"MTND6P21"	NA
"508"	"ENSG00000236625"	"C4B"	721
"509"	"ENSG00000267749"	""	NA
"510"	"ENSG00000224548"	""	NA
"511"	"ENSG00000227999"	"MTND5P1"	NA
"512"	"ENSG00000176533"	"GNG7"	2788
"513"	"ENSG00000273484"	"OR6R2P"	NA
"514"	"ENSG00000250634"	"LINC01182"	101929071
"515"	"ENSG00000138039"	"LHCGR"	3973
